Date,Interval,Time,DeadGams,Notes,Revertgams,Newgams,GroupSize,Pupae,eggs,larvae,NumGams,multigam,multigam2,Treatment,SourceCol,PHOTO_YO,PHOTO_MATED,PHOTO_YB,cricket,headwidth_mm,,indcode,Colcode,Colony,Mark,Status_Scanobs,status2,status3,omit,Duel,NumDuel,Antennaldrumming,Numantdrum,Recantdrum,Domperf,NumDomperf,Domrec,NumDomrec,Allogrooming,Recgrooming,WalkOver,NumWalkover,HandlePupae,Handlinglarv,Handlingoldeggs,BroodHandling,Outside,Time Outside
1/6/20,Twelve,Final,1,,1,0,14,20,,,6,1,1,IP,47BC/2,,,,,,,1,A,47BC/2,YGM,G,G,G,0,5,44,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/10/19,Twelve,Initial,,,,,129,5,,,8,1,1,IP,47BC/2,,,,,,,1,A,47BC/2,YGM,G,G,G,0,3,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1/6/20,Twelve,Final,1,,1,0,14,20,,,6,1,1,IP,47BC/2,,,,,,,2,A,47BC/2,GOY,G,G,G,0,7,132,4,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/10/19,Twelve,Initial,,,,,129,5,,,8,1,1,IP,47BC/2,,,,,,,2,A,47BC/2,GOY,G,G,G,0,3,19,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1/6/20,Twelve,Final,1,,1,0,14,20,,,6,1,1,IP,47BC/2,,,,,,,3,A,47BC/2,GYM,G,G,G,0,6,70,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/10/19,Twelve,Initial,,,,,129,5,,,8,1,1,IP,47BC/2,,,,,,,3,A,47BC/2,GYM,G,G,G,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6/20,Twelve,Final,1,,1,0,14,20,,,6,1,1,IP,47BC/2,,,,,,,4,A,47BC/2,YOB,G,G,G,0,6,84,1,1,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0
10/10/19,Twelve,Initial,,,,,129,5,,,8,1,1,IP,47BC/2,,,,,,,4,A,47BC/2,YOB,G,G,G,0,2,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10/10/19,Twelve,Initial,,,,,129,5,,,8,1,1,IP,47BC/2,,,,,,,5,A,47BC/2,YBM,G,G,RG,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6/20,Twelve,Final,1,,1,0,14,20,,,6,1,1,IP,47BC/2,,,,,,,5,A,47BC/2,YBM,unclear,RG,RG,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0
1/6/20,Twelve,Final,1,,1,0,14,20,,,6,1,1,IP,47BC/2,,,,,,,6,A,47BC/2,YMB,G,G,G,0,5,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/10/19,Twelve,Initial,,,,,129,5,,,8,1,1,IP,47BC/2,,,,,,,6,A,47BC/2,YMB,G,G,G,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6/20,Twelve,Final,1,,1,0,14,20,,,6,1,1,IP,47BC/2,3,1,1,,2.581,,7,A,47BC/2,YGB,G,G,G,0,6,101,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/10/19,Twelve,Initial,,,,,129,5,,,8,1,1,IP,47BC/2,,,,,,,7,A,47BC/2,YGB,G,G,G,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1/6/20,Twelve,Final,1,,1,0,14,20,,,6,1,1,IP,47BC/2,,,,,,,8,A,47BC/2,BYM,RG,G,G,1,6,149,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/10/19,Twelve,Initial,,,,,129,5,,,8,1,1,IP,47BC/2,,,,,,,8,A,47BC/2,BYM,G,G,G,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
3/10/20,Twelve,Final,,,0,0,12,34,,,8,1,1,IP,S1,7,0,1,,2.631,,9,B,51 A/2(+)(99B),G,G,G,G,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/18/19,Twelve,Initial,,,,,82,13,,,8,1,1,IP,S1,,,,,,,9,B,51 A/2(+)(99B),G,G,G,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/10/20,Twelve,Final,,,0,0,12,34,,,8,1,1,IP,S1,,,,,,,10,B,51 A/2(+)(99B),Y,G,G,G,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
12/18/19,Twelve,Initial,,,,,82,13,,,8,1,1,IP,S1,,,,,,,10,B,51 A/2(+)(99B),Y,G,G,G,0,1,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0
3/10/20,Twelve,Final,,,0,0,12,34,,,8,1,1,IP,S1,,,,,,,11,B,51 A/2(+)(99B),W,G,G,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/18/19,Twelve,Initial,,,,,82,13,,,8,1,1,IP,S1,,,,,,,11,B,51 A/2(+)(99B),W,G,G,G,0,1,5,1,1,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0
3/10/20,Twelve,Final,,,0,0,12,34,,,8,1,1,IP,S1,,,,,,,12,B,51 A/2(+)(99B),O,G,G,G,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/18/19,Twelve,Initial,,,,,82,13,,,8,1,1,IP,S1,,,,,,,12,B,51 A/2(+)(99B),O,G,G,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/10/20,Twelve,Final,,,0,0,12,34,,,8,1,1,IP,S1,,,,,,,13,B,51 A/2(+)(99B),B,G,G,G,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/18/19,Twelve,Initial,,,,,82,13,,,8,1,1,IP,S1,,,,,,,13,B,51 A/2(+)(99B),B,G,G,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/10/20,Twelve,Final,,,0,0,12,34,,,8,1,1,IP,S1,,,,,,,14,B,51 A/2(+)(99B),BWB,G,G,G,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/18/19,Twelve,Initial,,,,,82,13,,,8,1,1,IP,S1,,,,,,,14,B,51 A/2(+)(99B),BWB,G,G,G,0,1,3,0,0,0,1,3,0,0,0,0,0,0,0,1,0,1,0,0
3/10/20,Twelve,Final,,,0,0,12,34,,,8,1,1,IP,S1,,,,,,,15,B,51 A/2(+)(99B),WBW,G,G,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
12/18/19,Twelve,Initial,,,,,82,13,,,8,1,1,IP,S1,,,,,,,15,B,51 A/2(+)(99B),WBW,G,G,G,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/10/20,Twelve,Final,,,0,0,12,34,,,8,1,1,IP,S1,7,1,1,,2.896,,16,B,51 A/2(+)(99B),OBO,G,G,G,0,2,12,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/18/19,Twelve,Initial,,,,,82,13,,,8,1,1,IP,S1,,,,,,,16,B,51 A/2(+)(99B),OBO,G,G,G,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/7/21,Eighteen,Final,,"no new umw, but additional duelers away from gam",0,0,9,61,17,6,1,0,0,SP,F100,6,1,1,0,2.592,,17,C,F100A,OWO,G,G,G,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4/14/21,Eighteen,Initial,,,,,110,13,,,11,1,0,SP,F100,,,,,,,17,C,F100A,OWO,G,G,G,0,4,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2/28/22,Eighteen,Final,,,0,0,19,0,52,3,2,1,1,SP,F103,9,1,1,0,2.833,,18,D,F103,YGY,G,G,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
