Date,Interval,Time,DeadGams,Notes,Revertgams,Newgams,deadgam18,revertgam18,newgam18,GroupSize,initpupae,Pupae,pupae_eighteen,eggs,larvae,NumGams,multigam,Treatment,SourceCol,PHOTO_YO,PHOTO_MATED,PHOTO_YB,cricket,headwidth_mm,,indcode,Colcode,Colony,Mark,Status_Scanobs,Duel,NumDuel,Antennaldrumming,Numantdrum,Recantdrum,Domperf,NumDomperf,Domrec,NumDomrec,Allogrooming,Recgrooming,WalkOver,NumWalkover,HandlePupae,Handlinglarv,Handlingoldeggs,BroodHandling,Outside,Time Outside
1/6/20,Twelve,Final,1,,1,0,,,,14,5,20,,,,6,1,IP,47BC/2,,,,,,,8,A,47BC/2,BYM,unclear,6,149,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/31/19,Twelve,Final,,,0,0,,,,12,7,9,,,,8,1,IP,R22,,,,,,,139,AA,R22G/1(49E),BOB,G,9,54,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/18/21,Eighteen,Final,1,OBO is a worker at this time; umw (Y) that became NG temporarily before dying--uncounted,1,1,1,1,1,14,31,28,59,38,0,7,1,IP,R3,0,0,0,0,2.5,,151,AB,R3BA(3),OBO,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/14/22,Eighteen,Final,,,0,1,0,0,1,25,0,0,0,69,1,2,1,SP,R3,,,,,,,,AC,R3BA3A,BOMO,W,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1/5/20,Twelve,Final,,,0,0,,,,8,1,31,,,,5,1,IP,R4,3,1,1,,2.811,,159,AD,R4A(83),WPW,G,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3/9/20,Twelve,Final,1,,0,1,,,,22,11,40,,,,2,1,SP,R4,,,,,,,166,AE,R4A(83)B,B,W,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,8,0
6/8/21,Eighteen,Final,,,1,0,0,1,0,16,21,19,42,101,3,9,1,IP,R5,0,1,1,0,2.448,,176,AF,R5(117C),OGO,RG,0,0,0,0,2,0,0,0,0,1,2,0,0,1,1,0,2,2,0
4/22/21,Eighteen,Final,,,1,0,0,1,1,25,2,45,57,37,12,2,1,SP,109,4,0,1,,2.489,,177,AG,RGB(109),YGY,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/31/20,Twelve,Final,,,0,0,,,,8,5,9,,,,5,1,IP,109,,,,,,,184,AH,RGB(109B),OPO,W,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,6,4,0
9/12/20,Twelve,Final,,,0,0,,,,5,7,51,,,,1,0,SP,RL86BI2,11,0,1,,2.848,,185,AI,RL8.6B1(112B),YO,G,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
4/14/22,Eighteen,Final,1,,1,1,1,1,1,22,20,9,29,136,5,13,1,IP,RL86BI,,,,,,,,AJ,RL86B1(112C),Y,W,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,7,0
11/23/21,Eighteen,Final,,,0,0,0,0,0,19,0,4,4,29,8,1,0,SP,RO16A/2,12,1,1,0,2.965,,198,AK,RO16A/2(64C),WOW,G,0,0,5,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8/26/20,Twelve,Final,,,0,0,,,,4,6,26,,,,1,0,SP,RP5/2,6,1,1,,2.618,,199,AL,RP5/2(1B),WYW,G,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0
3/10/20,Twelve,Final,,,0,0,,,,23,28,53,,,,2,1,SP,S1,3,0,1,,2.95,,201,AM,S1B1/2(77B),BGW,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/28/20,Twelve,Final,,,0,0,,,,15,0,54,,,,9,1,IP,SAFC 12,4,0,1,,,,202,AN,SAFC 12,WYW,G,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3/21/21,Eighteen,Final,,"OGO died, but it was my fault during experiment, so not counted",0,0,0,0,0,12,7,40,48,,,1,0,SP,SAFC17,5,1,1,,2.577,,211,AO,SAFC 17,BGB,G,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9/18/20,Twelve,Final,,,0,0,,,,11,37,40,,,,2,1,SP,SAFC 5,,,,,,,214,AP,SAFC 5,BOB,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
3/9/20,Twelve,Final,,,1,0,,,,12,4,33,,,,5,1,IP,SAFC 9,,,,,,,221,AQ,SAFC 9,OYO,G,1,2,2,11,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
4/13/20,Eighteen,Final,,,0,0,0,0,1,45,9,105,139,97,26,3,1,SP,SAFC10,6,1,1,0,2.155,,222,AR,SAFC10,GYG,G,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
8/28/20,Twelve,Final,,,1,0,,,,4,2,18,,,,1,0,SP,SAFC12,7,1,1,,2.822,,229,AS,SAFC12A,YGY,G,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
11/23/21,Eighteen,Final,,,0,1,0,0,1,22,8,28,51,46,13,2,1,SP,SAFC13,7,1,1,0,2.786,,230,AT,SAFC13,BOB,G,7,81,5,6,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0
4/13/20,Eighteen,Final,1,,1,0,1,1,0,7,3,0,3,53,0,4,1,IP,SAFC13,5,0,1,0,2.59,,232,AU,SAFC13A,GOG,G,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
7/28/21,Eighteen,Final,,,0,0,0,0,0,8,3,6,17,39,6,5,1,IP,SAFC17,3,1,1,0,2.706,,242,AV,SAFC17A,BOB,G,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
6/10/21,Eighteen,Final,1,,1,0,1,1,0,6,6,51,63,27,4,4,1,IP,SAFC20,0,1,1,1,2.415,,248,AW,SAFC20,BYB,RG,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,2,5,0,0
3/21/21,Eighteen,Final,,,0,0,1,0,0,11,21,0,21,,,6,1,IP,SAFC5,,,,,,,249,AX,SAFC5A,Orange,G,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4/28/20,Twelve,Final,,,0,0,,,,11,2,49,,,,1,0,SP,T3A2,6,1,1,,2.467,,255,AY,T3A2(66),O,G,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/10/20,Twelve,Final,,,0,0,,,,12,13,34,,,,8,1,IP,S1,7,1,1,,2.896,,16,B,51 A/2(+)(99B),OBO,G,2,12,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/7/21,Eighteen,Final,,"no new umw, but additional duelers away from gam",0,0,0,0,0,9,13,61,87,17,6,1,0,SP,F100,6,1,1,0,2.592,,17,C,F100A,OWO,G,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2/28/22,Eighteen,Final,,,0,1,0,0,1,19,1,0,1,52,3,2,1,SP,F103,,,,,,,22,D,F103,YMO,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
11/23/21,Eighteen,Final,1,,1,0,1,1,0,9,3,1,4,47,9,6,1,IP,F105,5,1,1,0,2.765,,28,E,F105,WGW,G,0,0,1,3,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0
7/28/21,Eighteen,Final,,,0,0,0,0,0,7,3,1,4,18,7,1,0,SP,F105,1,1,1,0,2.754,,31,F,F105/2,OYO,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/31/19,Twelve,Final,,,0,1,,,,19,3,17,,,,2,1,SP,F107,,,,,,,,G,F107/1,UMW,unclear,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/8/21,Eighteen,Final,,,0,0,0,0,0,18,16,84,116,23,11,2,1,SP,F111,7,1,1,0,2.79,,37,H,F111,POP,G,0,0,2,9,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2/28/22,Eighteen,Final,1,,1,0,1,1,0,7,0,0,0,30,5,5,1,IP,F111,3,1,1,0,2.53,,42,I,F111/1,PBP,G,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4/14/20,Twelve,Final,,lots of umw dueling going on in this group initially,0,1,,,,15,15,22,,,,1,0,SP,F20,,,,,,,,J,F20/1,umw2,unclear,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
