Dissector,Interval,Sampling,DeadGams,Reverts,Newgams,Gams,GroupSize,TotalPupae,InitPupae,finalpupae,finallarvae,finaleggs,BPYO,BPMATED,BPYB,BPDissNotes,CABYO,CABMATED,CABYB,CABDissNotes,KLHYO,KLHMATED,KLHYB,KLHDissNotes,BehaviorSampled,Treatment,Date-Dissection,TRUE GAM COLONY,TRUE GAM MARK,status,cricket,headwidth,headwidth_mm,headwidth2,braindiss,oocyte_gam,gam_agreement,Ovary File Image Number(Blinded),PHOTO_YO,PHOTO_MATED,PHOTO_YB,NOTES--BP-when observing photographs blindly
BP,Eighteen,Final,1,,,1,11,48,7,48,,,5,1,1,,5,1,1,,,,,,,SP,5/4/21,SAFC17,BGB,G,,1,2.577,2.6,1,G,TRUE,7A,5,1,1,
BP,Eighteen,Final,1,,,5,10,21,21,21,,,0,1,1,,0,1,1,,,,,,,IP,5/5/21,SAFC5A,OYO,G,,1,2.729,2.7,0,W,FALSE,10A,0,1,1,"if Orange gamergate that died reverted, then count as revert"
BP,Eighteen,Final,1,,,5,10,21,21,21,,,4,1,1,,3,1,1,,,,,,,IP,5/5/21,SAFC5A,Yellow,G,,1,2.884,2.9,1,G,TRUE,65A,4,1,1,
BP,Eighteen,Final,1,,,5,10,21,21,21,,,4,0,1,,4,0,1,,,,,,,IP,5/5/21,SAFC5A,WOWO,G,,1,2.885,2.9,1,G,TRUE,29A,3,0,1,
BP,Eighteen,Final,1,,,5,10,21,21,21,,,5,1,1,lost 1 yo from ovary in transition to photoraph,4,1,1,,,,,,,IP,5/5/21,SAFC5A,OGO,G,,1,2.926,2.9,1,G,TRUE,4A,4,1,1,
BP,Eighteen,Final,1,,,5,10,21,21,21,,,5,1,1,,5,1,1,,,,,,,IP,5/5/21,SAFC5A,YGY,G,,1,2.597,2.6,0,G,TRUE,67A,4,1,1,
BP,Eighteen,Final,,1,1,2,24,57,2,7,12,37,4,1,1,,4,0,1,unsure about one of the oocytes,,,,,1,SP,6/3/21,RGB(109),YGY,G,,1,2.489,2.5,1,G,TRUE,40A,4,0,1,
BP,Eighteen,Final,,1,1,2,24,57,2,7,12,37,7,1,1,,7,1,1,did not count 1 as too transparent,,,,,1,SP,6/3/21,RGB(109),GOG,G,,1,2.570,2.6,1,G,TRUE,31A,6,1,1,
BP,Eighteen,Final,,,,8,11,118,46,5,9,70,3,1,1,,3,1,1,,,,,,1,IP,6/4/21,F32,WGW,G,,1,2.574,2.6,0,G,TRUE,68A,3,1,1,
BP,Eighteen,Final,,,,8,11,118,46,5,9,70,4,1,1,,4,1,1,,,,,,1,IP,6/4/21,F32,BYB,G,,1,2.513,2.5,0,G,TRUE,42A,4,1,1,
BP,Eighteen,Final,,,,8,11,118,46,5,9,70,4,0,1,,4,0,1,,,,,,1,IP,6/4/21,F32,OPO,G,,1,2.828,2.8,1,G,TRUE,35A,4,0,1,
BP,Eighteen,Final,,,,8,11,118,46,5,9,70,5,1,1,,4,1,1,,,,,,1,IP,6/4/21,F32,BOB,G,,1,2.487,2.5,0,G,TRUE,19A,4,1,1,
BP,Eighteen,Final,,,,8,11,118,46,5,9,70,5,1,1,,5,1,1,,,,,,1,IP,6/4/21,F32,GWG,G,,1,2.654,2.7,0,G,TRUE,50A,4,1,1,
BP,Eighteen,Final,,,,8,11,118,46,5,9,70,6,1,1,,6,1,1,,,,,,1,IP,6/4/21,F32,OYO,G,,1,2.703,2.7,0,G,TRUE,52A,5,1,1,
BP,Eighteen,Final,,,,8,11,118,46,5,9,70,6,1,1,,6,1,1,,,,,,1,IP,6/4/21,F32,OGO,G,,1,2.828,2.8,1,G,TRUE,15A,6,1,1,
BP,Eighteen,Final,,,,8,11,118,46,5,9,70,6,1,1,,4,1,1,,,,,,1,IP,6/4/21,F32,OBO,G,,1,2.739,2.7,1,G,TRUE,28A,5,1,1,5th Yo counted as can distinguish it ontop of another YO
BP,Eighteen,Final,,1,,9,16,42,21,0,3,101,0,1,1,,0,1,1,,,,,,1,IP,7/20/21,R5(117C),OGO,RG,0,1,2.448,2.4,0,RG,TRUE,32A,0,1,1,"not counting Yo since round, but not ovoid"
BP,Eighteen,Final,,1,,9,16,42,21,0,3,101,2,1,1,maybe 1+ yolky oocytes damaged during dissections,2,1,1,,,,,,1,IP,7/20/21,R5(117C),GWG,G,0,1,2.632,2.6,0,G,TRUE,58A,2,1,1,
BP,Eighteen,Final,,1,,9,16,42,21,0,3,101,4,1,1,,4,1,1,one oocyte pinched,,,,,1,IP,7/20/21,R5(117C),WGW,G,0,1,2.388,2.4,0,G,TRUE,48A,4,0,1,
BP,Eighteen,Final,,1,,9,16,42,21,0,3,101,4,1,1,,4,1,1,,,,,,1,IP,7/20/21,R5(117C),GBG,G,0,1,2.589,2.6,1,G,TRUE,22A,4,1,1,
BP,Eighteen,Final,,1,,9,16,42,21,0,3,101,5,1,1,,5,1,1,,,,,,1,IP,7/20/21,R5(117C),OYO,G,0,1,2.646,2.6,0,G,TRUE,41A,4,1,1,
BP,Eighteen,Final,,1,,9,16,42,21,0,3,101,5,1,1,,5,1,1,,,,,,1,IP,7/20/21,R5(117C),WP,G,0,1,2.642,2.6,0,G,TRUE,33A,5,1,1,
BP,Eighteen,Final,,1,,9,16,42,21,0,3,101,5,1,1,,4,1,1,1 YO uncounted b/c transparent,,,,,1,IP,7/20/21,R5(117C),ORANGE,G,0,1,2.470,2.5,0,G,TRUE,39A,5,1,1,"hard to tell, but can distinguish 5th yo on top of a larger YO"
BP,Eighteen,Final,,1,,9,16,42,21,0,3,101,6,1,1,lost spermatheca after taking picture,6,0,1,,,,,,1,IP,7/20/21,R5(117C),BYB,G,0,1,2.544,2.5,1,G,TRUE,20A,5,1,1,
BP,Eighteen,Final,,1,,9,16,42,21,0,3,101,6,1,1,,6,1,1,,,,,,1,IP,7/20/21,R5(117C),YOY,G,0,1,2.528,2.5,0,G,TRUE,59A,3,1,1,
BP,Eighteen,Final,,1,,9,16,42,21,0,3,101,6,1,1,,6,1,1,1 uncounted b/c half transparent,,,,,1,IP,7/20/21,R5(117C),PYP,G,0,1,2.694,2.7,1,G,TRUE,46A,5,1,1,
BP,Eighteen,Final,,,,2,18,116,16,10,11,23,6,1,1,,6,1,1,,,,,,1,SP,7/21/21,F111,WBW,G,0,1,2.708,2.7,1,G,TRUE,71A,6,1,1,
