Treatment,Interval,AfterManip,Date,Col,deadG,newRG1,newNG1,newNG3,previousG,Comment
IP,Twelve,4,11/21/19,47BC/2,,2,,,9,
IP,Twelve,6,1/6/20,47BC/2,1,1,,,8,
IP,Eighteen,3,10/12/21,F105,,1,,,7,
IP,Eighteen,6,11/23/21,F105,1,,,,6,
IP,Eighteen,8,12/21/21,F105,,1,,,6,
IP,Eighteen,3,1/17/22,F111/1,,1,,,6,
IP,Eighteen,6,2/28/22,F111/1,1,,,,5,
IP,Twelve,6,3/11/20,F211A,1,,,,5,
IP,Twelve,1,2/4/20,F44,1,,,,9,
IP,Twelve,4,7/29/20,R15A(118E),1,,,,6,
IP,Eighteen,2,5/12/21,R3BA(3),,3,,,12,
IP,Eighteen,3,5/26/21,R3BA(3),,,1,,9,
IP,Eighteen,4,6/9/21,R3BA(3),1,,,,9,
IP,Eighteen,5,6/23/21,R3BA(3),,,1,,9,
IP,Eighteen,6,7/7/21,R3BA(3),,1,,,9,
IP,Eighteen,5,5/25/21,R5(117C),,1,,,10,
IP,Eighteen,1,2/3/22,RL86B1(112C),,,5,,12,
IP,Eighteen,2,2/17/22,RL86B1(112C),,,2,,12,
IP,Eighteen,3,3/3/22,RL86B1(112C),1,,,1,12,
IP,Eighteen,4,3/17/22,RL86B1(112C),,,,2,12,
IP,Eighteen,5,3/31/22,RL86B1(112C),,1,,,14,
IP,Eighteen,8,5/12/22,RL86B1(112C),,2,,,11,
IP,Eighteen,9,5/26/22,RL86B1(112C),,1,,,10,
IP,Twelve,6,3/9/20,SAFC 9,,2,,,7,
IP,Eighteen,1,2/2/22,SAFC13A,,1,,,7,
IP,Eighteen,2,2/16/22,SAFC13A,,1,,,6,
IP,Eighteen,3,3/2/22,SAFC13A,1,,,,6,
IP,Eighteen,4,3/16/22,SAFC13A,1,,,,5,
IP,Eighteen,1,4/1/21,SAFC20,,3,,,10,
IP,Eighteen,2,4/15/21,SAFC20,1,2,,,7,
IP,Eighteen,3,4/29/21,SAFC20,,1,,,5,
IP,Eighteen,4,5/13/21,SAFC20,,1,,,4,
IP,Eighteen,6,6/10/21,SAFC20,1,,,,4,
IP,Eighteen,9,7/22/21,SAFC20,,1,,,3,
IP,Eighteen,7,4/6/21,SAFC5A,1,,,,6,
SP,Eighteen,6,2/28/22,F103,,,1,,2,
SP,Eighteen,7,3/14/22,F103,,,1,,2,
SP,Twelve,3,11/15/19,F107/1,,,1,,4,
SP,Twelve,4,11/29/19,F107/1,,,1,,2,
SP,Twelve,3,3/3/20,F20/1,,,2,,2,
SP,Twelve,4,3/17/20,F20/1,,,1,,2,
SP,Twelve,6,4/14/20,F20/1,,,1,,1,
SP,Eighteen,3,6/16/21,F32A,,1,,,3,
SP,Eighteen,7,6/24/21,R22G/1(49B),1,,2,,0,exclude this colony since no apparent gamergate
SP,Eighteen,8,7/8/21,R22G/1(49B),,,2,,0,exclude this colony since no apparent gamergate
SP,Eighteen,9,7/22/21,R22G/1(49B),,,3,,0,exclude this colony since no apparent gamergate
SP,Eighteen,2,2/17/22,R3BA3A,,,1,,6,
SP,Eighteen,1,2/3/22,R3BA3A,,,4,,10,
SP,Eighteen,4,3/17/22,R3BA3A,,,3,,4,
SP,Eighteen,6,4/14/22,R3BA3A,,,5,,2,
SP,Eighteen,7,4/28/22,R3BA3A,,,3,1,2,
SP,Eighteen,8,5/12/22,R3BA3A,,,3,1,3,
SP,Eighteen,9,5/26/22,R3BA3A,,,3,1,3,
SP,Twelve,5,2/25/20,R4A(83)B,,,3,,2,
SP,Twelve,1,12/31/19,R4A(83)B,1,,,,7,
SP,Eighteen,2,2/25/21,RGB(109),,1,,,5,
SP,Eighteen,7,5/6/21,RGB(109),,,1,,2,
SP,Eighteen,9,5/25/22,SAFC10,,,9,,3,
SP,Twelve,1,6/17/20,SAFC12A,,1,,,7,
SP,Eighteen,3,10/12/21,SAFC13,,,1,,3,
SP,Eighteen,5,11/9/21,SAFC13,,,1,,2,
SP,Eighteen,8,12/21/21,SAFC13,,,2,,2,
