COLONY,GAMMARK,TREATMENT,STATUS,Interval,Deadgams,REVERTGAM,NEWGAM,headwidth_mm,headwidth2,PHOTOYO,PHOTO_MATED,PHOTO_YB,TotalPupae,InitPupae,finallarvae,finaleggs,cricket,LATSAMPLE_60%,GAMSAMPLE,COLSIZESAMPLE,DSAMPLED,SPME,Method of GC/MS analysis for sample (not standard),,C23 RT,C24 RT,C25 RT,C26 RT,C27 RT,C28 RT,C29 RT,C30 RT,C31 RT,C32 RT,C33 RT,C34 RT,C35 RT,C36 RT,C37 RT,C38 RT,AlkStandard File?,"C23_ALKANE_RT (alkanes: base ions 57, 71, 85 and 99, M+, 324)",C23AREA,"C25_ALKANE_RT(alkanes: base ions 57, 71, 85 and 99, M+, 352)",C25AREA,"C27_ALKANE_RT(alkanes: base ions 57, 71, 85 and 99, M+, 380)",C27AREA,"C29ALKENE_RT (alkenes: base ions 57, 69, 83, 97, M+:406)",C29ALKENEAREA_A,C29ALKENEAREA_B,C29ALKENEAREA_TOT,"C29alkane_RT(alkanes: base ions 57, 71, 85 and 99, M+, 408)",C29AREA,"ME29_RT (mono-methylalkanes, alkanes base ions(99) and 197 and 253 for bond at C13, 225 for bond at C15 , m+, 422, but appears as M-15 of 407)",MEC29AREA,"C31alkene_RT (alkenes: base ions 57, 69, 83, 97, M+: 434)",C31ALKENEAREA_A,C31ALKENEAREA_B,C31ALKENEAREA_TOT,"ME31_RT (alk base ion, 99, plus for C13 bond, 197, 281, for C13, 225, 253, M+=450, but M-15 appears of 435)",ME31AREA,"C33Alkene_RT (alkenes: base ions 57, 69, 83, 97, M+: 462)",C33ALKENEAREA_A,C33ALKENEAREA_B,C33ALKENEAREA_TOT,"Me33_RT(alk base ion 99, c11 bond, 169, 337; c13, 197, 309; c15, 225, 281; c17, 253,plus M+= 478, but appears as M-15 of 463)",ME33AREA,"DimeC33_RT (alk base ions 99, plus, c7: 113, 407 and 281, 239 or 253,267; c11, 169, 197, 253,351;    c13, 323, 197 and 253,267 OR 225 and 295  , M+= 492, but appears as M-15 of 477)",DIMEC33AREA,"c35alkene_RT (alkenes: base ions 57, 69, 83, 97, M+: 490)",C35ALKENEAREA_A,C35ALKENEAREA_B,C35ALKENE_AREA_TOT,"mec35_RT (alk base 99, c13, 197, 337; c15, 225, 309; c17, 253, 281; M+=506, but appear as M-15 of 491)",MEC35AREA,"dimec35_RT (alk base ion 99, c7: 113,435, plus 239, 309 or 253, 295; c13, 197,351, plus 281, 267 or 225,323 or 197, 351  M+=520, but appears as M-15 of 505)",DIMEC35AREA,"RT of 13,23DimeC37 (base ions alkane (99), plus 197, 379, 225,351, M+=548, but M-15 appears of 533 )",1323Dimec37AREA,TOTALAREA,Index notes
SAFC17,BGB,SAMEPROP,GAMERGATE,Eighteen,1.00,,,2.58,2.58,5.00,1.00,1.00,48.00,7.00,,,,56.00,1.00,11.00,4-May,4-May,PYENSON_SPME_April2021.M,,14.07,15.39,16.73,18.07,19.42,20.73,22.03,23.29,24.54,25.71,25.89,28.03,29.14,30.24,31.47,32.89,210605_C20_C39_ALKANES_PENTANE,13.884,10584839.00,16.531,55871622.00,19.219,141028342.00,"21.393, 21.464",30691731.00,14619853.00,45311584.00,21.822,118851636.00,22.239,154638439.00,"23.938, 24.001",96552731.00,50002574.00,146555305.00,24.727,322509659.00,"26.35, 26.401",142416429.00,76248372,218664801.00,27.047,160915778.00,27.405,156426186.00,"28.601, 28.659",44385424.00,53111319.00,97496743.00,29.252,133293355.00,29.572,186524218.00,31.933,42730907.00,3143325469.00,"SPME sampled, refrigerated, and sampled on 6/13/21; c29alkene, counted only two smaller peaks"
SAFC5A,OGO,INCRPROP,GAMERGATE,Eighteen,1.00,,,2.93,2.93,4.00,1.00,1.00,21.00,21.00,,,,56.00,5.00,10.00,5-May,5-May,PYENSON_SPME_April2021.M,,14.07,15.39,16.73,18.07,19.42,20.73,22.03,23.29,24.54,25.71,25.89,28.03,29.14,30.24,31.47,32.89,210605_C20_C39_ALKANES_PENTANE,13.879,4619364.00,16.518,24092695.00,19.19,44843092.00,"21.383, 21.455",25599340.00,12092102.00,37691442.00,21.793,31052298.00,22.216,89734857.00,"23.922, 23.989",72565598.00,46265687.00,118831285.00,24.69,152690500.00,26.318,102298225.00,,102298225.00,27.007,76076485.00,27.374,94443164.00,"28.577, 28.64",11482769.00,20285669.00,31768438.00,29.216,31969770.00,29.538,66194099.00,31.911,15983447.00,1270829622.00,"SPME sampled, refrigerated, and sampled on 6/15/21"
SAFC5A,OYO,INCRPROP,GAMERGATE,Eighteen,1.00,,,2.73,2.73,0.00,1.00,1.00,21.00,21.00,,,,56.00,5.00,10.00,5-May,5-May,PYENSON_SPME_April2021.M,,14.07,15.39,16.73,18.07,19.42,20.73,22.03,23.29,24.54,25.71,25.89,28.03,29.14,30.24,31.47,32.89,210605_C20_C39_ALKANES_PENTANE,13.879,6175700.00,16.519,38042757.00,19.2,71593037.00,"21.395, 21.466",63577175.00,35651609.00,99228784.00,21.808,71987474.00,22.253,292350054.00,"23.960, 24.026",223031525.00,164493700.00,387525225.00,24.738,463185215.00,"26.352, 26.41",180333585.00,111020451,291354036.00,27.036,207544280.00,27.403,242044666.00,"28.59, 28.654",27025877.00,46990371.00,74016248.00,29.234,86868145.00,29.559,158712115.00,31.927,60289726.00,3397176428.00,"SPME sampled, refrigerated, and sampled on 6/13/21, mec33, dimec33 area is bigger than actual peak"
SAFC5A,WOWO,INCRPROP,GAMERGATE,Eighteen,1.00,,,2.89,2.89,3.00,0.00,1.00,21.00,21.00,,,,56.00,5.00,10.00,5-May,5-May,PYENSON_SPME_April2021.M,,14.07,15.39,16.73,18.07,19.42,20.73,22.03,23.29,24.54,25.71,25.89,28.03,29.14,30.24,31.47,32.89,210605_C20_C39_ALKANES_PENTANE,13.879,3135852.00,16.517,11692039.00,19.19,35578076.00,"21.385, 21.455",17411160.00,8837780.00,26248940.00,21.8,50105003.00,22.215,74257650.00,"23.925, 23.993",72975586.00,46814737.00,119790323.00,24.697,174186694.00,"26.326, 26.384",69104411.00,37793642,106898053.00,27.012,74529017.00,27.378,66847490.00,"28.579, 28.644",10763245.00,17806551.00,28569796.00,29.218,29838698.00,29.538,52231692.00,31.915,13471995.00,1160205219.00,"SPME sampled, refrigerated, and sampled on 6/13/21"
SAFC5A,Yellow,INCRPROP,GAMERGATE,Eighteen,1.00,,,2.88,2.88,4.00,1.00,1.00,21.00,21.00,,,,56.00,5.00,10.00,5-May,5-May,PYENSON_SPME_April2021.M,,14.07,15.39,16.73,18.07,19.42,20.73,22.03,23.29,24.54,25.71,25.89,28.03,29.14,30.24,31.47,32.89,210605_C20_C39_ALKANES_PENTANE,13.88,3084702.00,16.521,16572197.00,19.197,47182943.00,"21.384, 21.456",9393103.00,4556881.00,13949984.00,21.802,54778811.00,22.212,56917073.00,"23.924, 23.991",61306564.00,42063204.00,103369768.00,24.691,144513968.00,"26.324, 26.384",61629635.00,38673882,100303517.00,27.011,56870973.00,27.375,58014180.00,"28.581, 28.644",12391515.00,21063531.00,33455046.00,29.221,33219109.00,29.536,56484062.00,31.913,10813681.00,1069137268.00,"SPME sampled, refrigerated, and sampled on 6/15/21"
SAFC5A,YGY,INCRPROP,GAMERGATE,Eighteen,1.00,,,2.60,2.60,4.00,1.00,1.00,21.00,21.00,,,,56.00,5.00,10.00,5-May,5-May,PYENSON_SPME_April2021.M,,14.07,15.39,16.73,18.07,19.42,20.73,22.03,23.29,24.54,25.71,25.89,28.03,29.14,30.24,31.47,32.89,210605_C20_C39_ALKANES_PENTANE,13.884,6329554.00,16.525,26826333.00,19.2,60050507.00,"21.392, 21.462",23709230.00,14223248.00,37932478.00,21.811,77120129.00,22.233,130341680.00,"23.942, 24.007",107712859.00,85177054.00,192889913.00,24.72,271960118.00,"26.341, 26.4",102959103.00,73340898,176300001.00,27.031,106221946.00,27.395,124088261.00,"28.587, 28.655",20161740.00,37021543.00,57183283.00,29.231,61470797.00,29.557,122187415.00,31.929,27292617.00,2107544264.00,"SPME sampled, refrigerated, and sampled on 6/13/21"
RGB(109),GOG,SAMEPROP,GAMERGATE,Eighteen,,1.00,,2.57,2.57,6.00,1.00,1.00,57.00,2.00,12.00,37.00,,56.00,2.00,24.00,3-Jun,3-Jun,PYENSON_SPME_April2021.M,,14.07,15.39,16.73,18.07,19.42,20.73,22.03,23.29,24.54,25.71,25.89,28.03,29.14,30.24,31.47,32.89,210605_C20_C39_ALKANES_PENTANE,13.868,1135484.00,16.508,19577556.00,19.187,57214094.00,"21.371, 21.448",11238355.00,6892798.00,18131153.00,21.792,58377142.00,22.212,96443478.00,"23.911, 23.981",51186813.00,48993655.00,100180468.00,24.693,171817457.00,"26.313, 26.378",62550615.00,48384272,110934887.00,27.009,102121906.00,27.391,212583800.00,"28.569, 28.637",14856348.00,30979534.00,45835882.00,29.217,62664261.00,29.536,90803430.00,31.902,23633776.00,1712560540.00,
RGB(109),YGY,SAMEPROP,GAMERGATE,Eighteen,,1.00,,2.49,2.49,4.00,0.00,1.00,57.00,2.00,12.00,37.00,,56.00,2.00,24.00,3-Jun,3-Jun,PYENSON_SPME_April2021.M,,14.07,15.39,16.73,18.07,19.42,20.73,22.03,23.29,24.54,25.71,25.89,28.03,29.14,30.24,31.47,32.89,210605_C20_C39_ALKANES_PENTANE,13.873,1398001.00,16.51,14100293.00,19.186,40463308.00,"21.375, 21.447",12897326.00,4752868.00,17650194.00,21.793,49335035.00,22.211,85707113.00,"23.913, 23.978",45094153.00,22994244.00,68088397.00,24.685,134716948.00,"26.313, 26.374",50022233.00,26504465,76526698.00,27.003,56123420.00,27.375,113864687.00,"28.570, 28.634",10474951.00,13842487.00,24317438.00,29.211,35111407.00,29.529,49831840.00,31.905,9812608.00,1188176103.00,
F32,BOB,INCRPROP,GAMERGATE,Eighteen,,,,2.49,2.49,4.00,1.00,1.00,118.00,46.00,9.00,70.00,,56.00,8.00,11.00,4-Jun,4-Jun,PYENSON_SPME_April2021.M,,14.07,15.39,16.73,18.07,19.42,20.73,22.03,23.29,24.54,25.71,25.89,28.03,29.14,30.24,31.47,32.89,210605_C20_C39_ALKANES_PENTANE,13.87,928440.00,16.508,12326809.00,19.185,49116691.00,"21.372, 21.448",9851717.00,5603926.00,15455643.00,21.79,47643896.00,22.2,48128582.00,"23.905, 23.975",34848807.00,25507041.00,60355848.00,24.67,89125384.00,"26.303, 26.369",34341326.00,23441473,57782799.00,26.995,46821745.00,27.363,52393599.00,"28.572, 28.634",8166094.00,21084650.00,29250744.00,29.207,24891603.00,29.524,43710499.00,31.894,7622228.00,925433690.00,mec33 peak is too wide
F32,BYB,INCRPROP,GAMERGATE,Eighteen,,,,2.51,2.51,4.00,1.00,1.00,118.00,46.00,9.00,70.00,,56.00,8.00,11.00,4-Jun,4-Jun,PYENSON_SPME_April2021.M,,14.07,15.39,16.73,18.07,19.42,20.73,22.03,23.29,24.54,25.71,25.89,28.03,29.14,30.24,31.47,32.89,210605_C20_C39_ALKANES_PENTANE,13.879,2012456.00,16.521,27185877.00,19.201,74645959.00,"21.384, 21.457",21310796.00,13601370.00,34912166.00,21.798,47337514.00,22.218,85599250.00,"23.918, 23.991",57555767.00,52166415.00,109722182.00,24.682,110783508.00,"26.313, 26.378",45938162.00,33695670,79633832.00,27.004,55125575.00,27.373,68965304.00,28.64,32628420.00,,32628420.00,29.211,27310237.00,29.531,46563104.00,31.904,8090152.00,1229159718.00,MEC33 AND C35ALKENE ARE TOO WIDE
