Date,Interval,Time,DeadGams,Notes,Revertgams,Newgams,GroupSize,Pupae,eggs,larvae,NumGams,multigam,multigam2,Treatment,SourceCol,PHOTO_YO,PHOTO_MATED,PHOTO_YB,cricket,headwidth_mm,difference_numduel,diff_duelpergam,diff_duelperpropgam,diffcalc,indcode,Colcode,Colony,Mark,Status_Scanobs,status2,status3,omit,Duel,NumDuel,duelpergam,duelperpropgam,Antennaldrumming,Numantdrum,Recantdrum,Domperf,NumDomperf,Domrec,NumDomrec,Allogrooming,Recgrooming,WalkOver,NumWalkover,HandlePupae,Handlinglarv,Handlingoldeggs,BroodHandling,Outside,Time Outside
10/10/19,Twelve,Initial,,,,,129,5,,,8,1,1,IP,47BC/2,,,,,,34.00,6.08,0.51,1.00,1,A,47BC/2,YGM,G,G,G,0,3,10,1.25,0.009689922,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/10/19,Twelve,Initial,,,,,129,5,,,8,1,1,IP,47BC/2,,,,,,113.00,19.63,1.55,1.00,2,A,47BC/2,GOY,G,G,G,0,3,19,2.375,0.018410853,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10/10/19,Twelve,Initial,,,,,129,5,,,8,1,1,IP,47BC/2,,,,,,54.00,9.67,0.82,1.00,3,A,47BC/2,GYM,G,G,G,0,3,16,2,0.015503876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/10/19,Twelve,Initial,,,,,129,5,,,8,1,1,IP,47BC/2,,,,,,73.00,12.63,0.99,1.00,4,A,47BC/2,YOB,G,G,G,0,2,11,1.375,0.010658915,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10/10/19,Twelve,Initial,,,,,129,5,,,8,1,1,IP,47BC/2,,,,,,-2.00,-0.25,0.00,1.00,5,A,47BC/2,YBM,G,G,RG,1,1,2,0.25,0.001937984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/10/19,Twelve,Initial,,,,,129,5,,,8,1,1,IP,47BC/2,,,,,,119.00,20.42,1.57,1.00,6,A,47BC/2,YMB,G,G,G,0,2,14,1.75,0.013565891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/10/19,Twelve,Initial,,,,,129,5,,,8,1,1,IP,47BC/2,,,,,,100.00,16.71,1.20,1.00,7,A,47BC/2,YGB,G,G,G,0,1,1,0.125,0.000968992,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/10/19,Twelve,Initial,,,,,129,5,,,8,1,1,IP,47BC/2,,,,,,140.00,23.71,1.77,1.00,8,A,47BC/2,BYM,G,G,G,1,2,9,1.125,0.00872093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
12/18/19,Twelve,Initial,,,,,82,13,,,8,1,1,IP,S1,,,,,,0.00,0.00,0.00,1.00,9,B,51 A/2(+)(99B),G,G,G,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/18/19,Twelve,Initial,,,,,82,13,,,8,1,1,IP,S1,,,,,,-2.00,-0.25,0.00,1.00,10,B,51 A/2(+)(99B),Y,G,G,G,0,1,2,0.25,0.00304878,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0
